Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-08-27,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-27,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-27,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-27,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-28,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-28,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-28,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-28,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-29,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-08-29,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-29,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-29,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-29,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-29,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-08-29,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-08-29,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-29,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-08-29,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-29,Arrival,VIE,Vienna,21:05,Wizz Air,W6
2025-08-29,Departure,VIE,Vienna,21:40,Wizz Air,W6
2025-08-30,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-30,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-30,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-30,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-30,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-30,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-31,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-31,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-31,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-31,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-31,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-31,Departure,VIE,Vienna,15:40,Wizz Air,W6
