Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-06-19,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-20,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-06-20,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-20,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-20,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-20,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-20,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-06-20,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-06-20,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-20,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-06-20,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-20,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-06-20,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-06-21,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-21,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-21,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-21,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-22,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-22,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-22,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-22,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-22,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-06-22,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-06-23,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-23,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-23,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-23,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-23,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-23,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-23,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-06-23,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-06-23,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-06-23,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-06-24,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-24,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-24,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-06-24,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-06-24,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-24,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-25,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-25,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-25,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-25,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-25,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-25,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-25,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-06-25,Departure,VIE,Vienna,15:40,Wizz Air,W6
